Files	file_content	vessel_type	position_in_tube	time_in_water	slide_id
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0021.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0022.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0023.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0024.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0025.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0026.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0027.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S2-Cr3-M/s2-cr3-m-timelapse_0028.nd2	raw brightfield time-lapse microscopy data	pools	middle	21	S2-Cr3-M
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_001.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_002.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_003.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_004.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_005.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_006.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_007.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_008.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_009.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0010.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0011.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0012.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0013.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0014.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0015.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0016.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0017.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0018.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0019.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0020.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0021.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0022.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0023.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0024.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0025.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0026.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0027.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S3-Cr4-T/s3-cr4-t-timelapse_0028.nd2	raw brightfield time-lapse microscopy data	pools	top	4	S3-Cr4-T
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0000.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0001.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0002.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0003.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0004.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0005.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0006.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0007.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0008.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0009.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0010.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0011.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0012.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0013.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0014.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0015.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0016.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0017.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0018.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
